fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210907 044638	0.0996062805345926	7997	532	20	5	0
20210907 044723	-0.790946656608393	3685	176	9	5	3840000
20210907 044811	-0.254088408845561	7987	2000	20	5	2630000
20210907 044858	-0.999764521146825	6348	1988	20	5	2630000
20210907 045015	-0.330126970756767	1604	197	19	5	5015000
20210907 045036	-0.464011156071414	6751	1488	3	5	2630000
20210907 045120	-0.275132170261968	7999	1455	10	5	2630000
20210907 045244	-0.999815742478757	6472	3	20	5	2246250
20210907 045358	-0.925389588455943	2590	262	20	5	4810000
20210907 045447	-0.887068623053471	2284	633	9	5	4882500
20210907 045535	-0.504177347465343	1310	251	9	5	5102500
20210907 045648	-0.0781764532763894	6112	177	19	5	2531250
20210907 045737	-0.232446035688361	2883	538	10	5	4937500
20210907 045833	-0.426337255023664	2941	1467	20	5	3516250
20210907 045936	-0.681246965678003	1223	600	20	5	4535000
20210907 050035	-0.784686647720867	2555	742	20	5	4801250
20210907 050127	-0.0762838807654298	2905	373	11	5	4992500
20210907 050148	-0.091032237351956	2942	1018	3	5	3656250
20210907 050253	-0.0989893336008172	2746	425	19	5	5013750
20210907 050353	-0.600364710201509	2486	796	16	5	4437500
20210907 050441	-0.762809074041108	6752	2000	15	5	2630000
20210907 050503	-0.47256815842668	3981	1990	3	5	2541250
20210907 050536	-0.536575812228767	8000	86	6	5	2630000
20210907 050640	-0.073942793775521	2408	552	17	5	4901250
20210907 050742	-0.16054407201969	2831	294	14	5	4850000
20210907 050836	-0.999914517427365	4443	1539	17	5	2753750
20210907 050938	-0.886996236381425	2898	661	18	5	4968750
20210907 051022	-0.085780139255286	1334	165	8	5	5172500
20210907 051114	-0.448830140482538	6579	1191	14	5	2630000
20210907 051205	-0.884355397360234	3995	1996	20	5	2117500
20210907 051226	0.0999790760953416	7990	115	3	5	0
20210907 051305	-0.808180346244066	6451	177	8	5	2531250
20210907 051326	-0.161627142725527	6225	2000	3	5	2630000
20210907 051434	-0.997629136507877	1262	398	20	5	5165000
20210907 051529	-0.163389968603544	8000	334	14	5	2630000
20210907 051551	-0.627864657065957	2918	1458	3	5	3640000
20210907 051636	-0.739960978991861	1314	170	8	5	5190000
20210907 051724	-0.818337766822611	1302	204	9	5	5276250
20210907 051814	-0.295016478048358	1734	339	9	5	5098750
20210907 051858	-0.693107898575232	1302	186	8	5	5497500
20210907 052005	-0.712240032431703	1350	186	15	5	5207500
20210907 052050	-0.708094917901329	1707	208	8	5	4912500
20210907 052143	-0.510935560539574	2922	349	11	5	4992500
20210907 052306	-0.660582716361104	1182	1	16	5	4155000
20210907 052408	-0.914695541088384	1811	668	20	5	4705000
20210907 052457	-0.643494074919663	1251	193	9	5	5275000
20210907 052614	-0.579085297730506	1919	199	20	5	4772500
20210907 052713	-0.890925785547006	1224	187	12	5	4975000
20210907 052754	-0.661628124317698	1243	183	7	5	4918750
20210907 052840	-0.648157260181854	1394	381	8	5	5121250
20210907 052930	-0.336162197093086	1819	571	10	5	5025000
20210907 053003	-0.820166676397501	7987	2000	6	5	2630000
20210907 053106	-0.194807852665066	1329	531	19	5	4635000
20210907 053148	-0.780615577952131	2878	1434	8	5	3792500
20210907 053219	-0.405961497069863	2836	573	5	5	3290000
