fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211014 192130	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	19	TRUE	0.0656948771274516	0.815605078958574	6773	505	15	83	19	0.0361689201471929	20	7755874.95655
20211014 192147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	28	TRUE	0.0722879773338458	0.988370118771646	4413	524	0	53	6	0.00220731324153742	21	348374.99875
20211014 192204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	51	TRUE	0.0622812462418473	0.229942526551895	5626	960	19	90	10	0.0416117848961547	22	2979374.967525
20211014 192219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	41	TRUE	0.0914446909466226	0.153393768717901	3655	298	4	42	20	0.0361944136586618	23	7857624.9562
20211014 192235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	27	TRUE	0.0853862267539704	0.88623547413902	2587	633	19	4	12	0.0461857458551215	24	4423624.95825
20211014 192259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	80	TRUE	0.0300165427748912	0.423671039377639	3964	104	6	1	5	0.00137877410286443	25	120124.999525
20211014 192317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	51	TRUE	0.0449613344037373	0.119827415855668	1151	670	3	94	11	0.0459286862681488	26	3639624.960325
20211014 192332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	28	TRUE	0.0812074517990862	0.941645834800355	2837	71	17	99	7	0.00528353034636368	27	659999.9970625
20211014 192408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	118	TRUE	0.0248017051829291	0.631694629308601	7031	997	8	15	17	0.0409999406536175	28	7104499.956175
20211014 192423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0647894392418595	0.440819640397994	4215	222	9	53	19	0.0361859158213638	29	7750874.956675
20211014 192438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	22	TRUE	0.0840995286752968	0.365479559559331	2393	823	6	85	20	0.0362921387909871	30	7828124.955625
20211014 192456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	52	TRUE	0.0427760454645744	0.147429774784203	3857	582	4	72	20	0.0335005992282061	31	7794374.958775
20211014 192509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.0735591273965688	0.19761774489041	1924	513	3	48	19	0.035548578021257	32	7771999.9575125
20211014 192531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	29	TRUE	0.0471115816614195	0.356465523700252	1778	332	11	65	20	0.0355698226172636	33	7840749.9564125
20211014 192555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	37	TRUE	0.0914094164320951	0.196285584264735	3017	731	12	23	20	0.0329864800680695	34	7948499.95985
20211014 192608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.0920130610860497	0.543607586507539	6084	663	7	58	20	0.0352001666939537	35	7821999.957025
20211014 192627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	32	TRUE	0.0446287684320989	0.887370724444172	6266	273	3	89	20	0.0358332555751992	36	7820624.956175
20211014 192641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	20	TRUE	0.0525552376062052	0.197342354686712	2165	823	8	11	20	0.0342824002606782	37	7863124.9583625
20211014 192708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	63	TRUE	0.0203279398255694	0.775287116395897	5758	570	8	83	19	0.03616042230947	38	7783374.9568
20211014 192721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	TRUE	0.0775892774612754	0.118253150461008	2031	985	12	46	20	0.036041452591123	39	7856749.95535
20211014 192735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	14	TRUE	0.0995085923715152	0.903618136731286	3188	424	11	78	20	0.0343291383670915	40	7827249.956975
20211014 192752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	40	TRUE	0.0817339397932713	0.250081458438069	2716	616	10	44	20	0.0339764781177401	41	7790624.9586375
20211014 192809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.0999760695329644	0.798712611248952	5142	355	3	1	20	0.0331691835695502	42	7674999.9601375
20211014 192829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	65	TRUE	0.0999326349173355	0.110266441612029	3601	976	6	19	19	0.0356335563944488	43	7819624.957175
20211014 192846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	23	TRUE	0.0869193254069244	0.558153136534995	1024	923	13	17	20	0.0373097548067774	44	7761249.9563125
20211014 192904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	29	TRUE	0.0600623991384288	0.779436050183559	5392	983	12	95	20	0.0355655736986147	45	7834624.9566875
20211014 192919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	54	TRUE	0.0999946201075946	0.100305374892513	5279	834	14	89	20	0.0367085328156116	46	7900624.95655
20211014 192942	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	84	TRUE	0.0286383712476957	0.10012244675066	1352	238	13	14	19	0.0356951657146464	47	7723624.957125
20211014 193000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	36	TRUE	0.0970705725774558	0.677333847535148	5349	374	3	99	19	0.0367680176754225	48	7791499.9570875
20211014 193013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	36	TRUE	0.0986502066250876	0.101609643898717	5686	205	14	16	20	0.0329652354731251	49	7807499.95955
20211014 193037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	43	TRUE	0.0434160665419297	0.848487829553339	1520	309	4	86	20	0.0356335563961484	50	7829374.957
20211014 193051	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	32	TRUE	0.0519192115830897	0.135297658274003	5703	905	15	19	20	0.0343333872870151	51	7798124.95765
20211014 193107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	56	TRUE	0.0993814864468439	0.104289673817687	1461	385	14	86	19	0.0377707624850765	52	7775624.9555125
20211014 193123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	24	TRUE	0.0854948785976669	0.661970483908158	5406	328	13	88	20	0.036122182042904	53	7813124.95625
20211014 193138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	27	TRUE	0.0999743263440259	0.423507065930865	3569	938	15	75	20	0.0364450998602255	54	7740624.9562375
