fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211012 031900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0708868729008362	0.91606955644486	6064	577	0.0346987943003864	97	8153374.9572375
20211012 032846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	448	TRUE	0.0110702305533737	0.695623243039055	6018	461	0.034001971643018	98	8112124.9546125
20211012 033151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0214052769451961	0.196053980156803	2488	274	0.0286440852124369	99	7899374.9587625
20211012 033512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0331314454545453	0.370105735286977	1465	239	0.0283891500932865	100	8068874.9585
20211012 033933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	283	TRUE	0.02363437875662	0.263804436316504	6445	644	0.0407662501376969	101	7925374.9527875
20211012 034134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.0356065705560148	0.147536374114733	2223	477	0.0306750683323791	102	7931999.9570875
20211012 034448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0433209325035289	0.579045248592016	1967	103	0.0316353239504448	103	8177124.956525
20211012 034744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.0593407784147374	0.924664785929676	2791	95	0.034477850529153	104	7793374.9554625
20211012 035049	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0348087538904324	0.999669843316427	1360	319	0.0322896574200488	105	8074374.9573
20211012 035408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.0599487062580883	0.739026515573799	1624	694	0.0242039652149189	106	7993499.9615375
20211012 035610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0562608514695242	0.197333927904	5649	195	0.0358799936862863	107	7839374.9548625
20211012 035812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.0854166515818797	0.619690122362599	4552	623	0.0355613247865515	108	8011249.955025
20211012 035959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.0887080155907571	0.873812612635875	1355	927	0.0341251902791643	109	7565624.9586625
20211012 040320	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	168	TRUE	0.0210356962046027	0.30418322605018	6439	149	0.0351449307549163	110	7813999.9557875
20211012 040558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0425919271285459	0.479813251504977	3730	724	0.0312359255927681	111	7899374.957775
20211012 041031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	295	TRUE	0.012085507917963	0.19160190150952	3881	140	0.0311573205973373	112	7917124.9574125
20211012 041539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0190600209217146	0.687088111803751	6314	570	0.0284231414403537	113	7992374.959025
20211012 041813	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.0662238893082552	0.899921012111078	3233	110	0.0259035326757803	114	7733999.9589
20211012 042213	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	224	TRUE	0.0156990846062265	0.206060160265514	1709	1018	0.0304158842926677	115	8025124.9576
20211012 042518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.0450620646621287	0.887867181015876	5178	651	0.0373947331850679	116	8197124.954725
20211012 042917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0231682248982787	0.980267191101052	6195	259	0.0314313758493459	117	7708249.9579
20211012 043144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	0.0765195157204941	0.598122210440412	4410	160	0.0291114662661602	118	7867624.9581625
