fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211013 033023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	322	TRUE	0.0377353908241029	0.819211499658934	3266	731	8	60	0.0368190047106822	58	8350874.9536125
20211013 033414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	122	TRUE	0.0336624777963896	0.898596882364316	3238	779	9	64	0.0290859727444939	59	7857374.9604125
20211013 033803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	108	TRUE	0.033165669144296	0.84491500890579	2058	261	19	0	0.0307940380511511	60	8099999.9568625
20211013 034333	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	198	TRUE	0.0377490280734886	0.746402481046865	3255	797	12	47	0.0340402119091592	61	8284624.9551375
20211013 034900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	176	TRUE	0.0336836750953126	0.796682616158723	3342	789	7	0	0.0349197380733193	62	8088374.95385
20211013 035536	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	233	TRUE	0.0379911416375016	0.817278061970398	3141	618	13	3	0.0369103564618474	63	8358249.953075
20211013 040403	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	340	TRUE	0.026455328368883	0.693619438081089	3289	789	7	89	0.0353467543932916	64	8356624.955125
20211013 041110	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	252	TRUE	0.0276892849955102	0.811370656937767	2403	154	16	2	0.0332541619588878	65	8384874.955075
20211013 041621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	181	TRUE	0.0374722582261834	0.801541950639213	2544	275	16	44	0.0281724552396398	66	8122124.95985
20211013 042554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	385	TRUE	0.0270908557217168	0.756110119913363	3080	762	4	93	0.0332924022256663	67	8103124.95525
20211013 042957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	120	TRUE	0.0379631744940947	0.793650927125003	3341	675	9	10	0.0337427876039439	68	8186874.9545375
20211013 050943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	109	TRUE	0.0296893128722181	0.785774508171975	2386	494	14	0	0.0302714210573281	69	8464374.9581
20211013 052022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	213	TRUE	0.0252247364784059	0.73584782320814	3432	926	9	82	0.0268765350463938	70	7908124.9610375
20211013 052644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	242	TRUE	0.0371888563379126	0.688195512719839	3193	727	8	131	0.0340678298771908	71	8212999.9559625
20211013 053433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	278	TRUE	0.0283164347001532	0.825536346941089	2452	540	13	6	0.0370272017249065	72	8314374.955975
20211013 053922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	148	TRUE	0.028944040219662	0.748130197342172	2295	493	14	0	0.0294811221890452	73	8383374.9583625
20211013 054631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	283	TRUE	0.0368105338029926	0.806155945813329	3289	721	12	99	0.0353488788509165	74	8030124.9546125
20211013 055118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	150	TRUE	0.0379848590332093	0.828258715849095	2950	808	7	16	0.0347306611913158	75	8329374.954375
20211013 055611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	154	TRUE	0.0310146435746783	0.808503986901004	2403	129	16	0	0.0348836222592795	76	8253124.955375
20211013 060409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	315	TRUE	0.0296162826387309	0.875499000206794	2420	452	16	68	0.0333306424879834	77	7895749.9561125
20211013 061254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	372	TRUE	0.0272423320885859	0.693048696868951	3344	671	8	148	0.0346690518636827	78	8229624.956625
20211013 061740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	140	TRUE	0.0276281926711504	0.779213132894729	2387	305	15	0	0.036559820670121	79	8127624.957
20211013 062118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	95	TRUE	0.0315191563890008	0.773521763769401	2331	567	12	0	0.0317394224522458	80	8341374.9577625
20211013 062541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	123	TRUE	0.0296550418253349	0.789294929828378	2362	638	10	4	0.0315800880046091	81	8213374.957175
20211013 063007	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	128	TRUE	0.0284951322108186	0.842603544857516	2265	123	13	0	0.0315503455736414	82	8097124.9575875
20211013 063532	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	197	TRUE	0.0308455383155881	0.786367771767383	2806	924	14	75	0.0323873825440888	83	7992124.9581
20211013 063935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	110	TRUE	0.0366755662671339	0.795515250414061	1595	497	14	1	0.0363622459512445	84	8334374.9554375
20211013 064902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	386	TRUE	0.030787082603654	0.780872649843787	5177	497	14	0	0.0352511537275139	85	8031249.953825
20211013 065403	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	158	TRUE	0.0268662336091615	0.761285176024516	2134	54	17	0	0.0312699169436594	86	8171874.957175
20211013 070031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	222	TRUE	0.029629356804217	0.861400331967353	2895	642	12	3	0.0367595198487469	87	8236374.953925
20211013 070658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	196	TRUE	0.0365247071763221	0.447883581593562	3506	757	7	75	0.035552826945642	88	8193249.95555
20211013 071130	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	138	TRUE	0.0295987380282394	0.797346858169672	2525	735	16	0	0.032170687698515	89	8446124.9580375
